file,text
TTS_1_2,ntivuga ko nehemiya yakoreye umugabo wa esiteri umwami ahasuwerusi ahubwo yakoreye uwamusimbuye
TTS_1_3,iyo nzu ni nto ariko ni nini bihagije kuri twe
TTS_1_4,amaze kubona izi mbwa ngo yageze ikigali atekereza icyo yakora ngo nibwo yahise azizana mu rwanda
TTS_1_5,abana banjye batandatu umugabo wanjye n'abavandimwe banjye babiri bahise bicwa
TTS_1_6,seyoboka yavuze ko adahakana ko bariya bantu bishwe ariko ko atari we wabishe
TTS_1_7,kugira ngo iyi kipe ikomeze biyisaba kwihagararaho ntizishyurwe ibi bitego cyangwa ngo itsindwe ibindi
TTS_1_8,kuko habaga umurishyo w'ingoma wavugaga umenyesha yuko kanaka uwo ari igicibwa
TTS_1_9,ryari ryegeranye n'iryacu ntangira no kumukunda yatumaga numva nkunzwe cyane
TTS_1_10,ariko hari indirimbo ijya imfasha duhuriyeho kandi twese tuzi
TTS_1_11,nakubwiye kenshi ko ntakunda gushyirwa ku karubanda none unshyize kuri radiyo
TTS_1_12,uwo mukinnyi yabajijwe icyo yifuza ku bijyanye n'ubuzima bwe bw'imibonanompuzabitsina
TTS_1_13,ni uburyo bw'ingenzi mu itumanaho kuko bukoreshwa n'abantu hafi ya bose ku isi
TTS_1_14,yezu yabikuraga mu ijambo ry'imana ndetse no muri gahunda itajya ihagarara y'ibyaremwe
TTS_1_15,icyampa akabona intsinzi muri kimwe cya kabiri cy'icyiciro cya karindwi
TTS_1_16,dore ko usanga abashumba bashoye inka mu mazi ari mu kibumbiro
TTS_1_17,cyane cyane bakoresha uturima tw'igikoni kugira ngo bashobore kubona indyo yuzuye ku buryo buboroheye
TTS_1_18,yagize ati basaba uburenganzira maze tukazumva twasanga zidahabanye no kwibuka zidatoneka ibikomere tukabubaha
TTS_1_19,uwo munsi ni bwo bwari ubwa mbere dawidi ahaza asafu n'abavandimwe
TTS_1_20,ihuriro nyarwanda riramagana iyi mikorere ya kagame yo kugira ikibazo cye bwite ikibazo cy'abanyarwanda bose
TTS_1_21,hanze harashyushye kuburyo nshaka kumara umunsi wose munzu ifite ubukonje
TTS_1_22,yigeze nari rimwe agaragara yambaye ingutiya yaba ngufi bita mini cyangwa indende
TTS_1_23,abanyarwanda bazajye bayigeza ku bajyanama bagenwe na minisiteri y'ubucuruzi igihe icyo ari cyo cyose babagire inama
TTS_1_24,abakobwa icumi bahataniye kwinjira muri misi rwanda mu majonjora yabereye i musanze
TTS_1_25,yavuze ko ubufaransa butigeze buhagarika gukoloniza ibihugu byo muri afurika bibarirwa mu icumi
TTS_1_26,perezida w'u bufaransa yategetse ko mu gihugu haba icyunamo uwo munsi
TTS_1_27,zikoreshwa hagamijwe kwirinda ibyago cyangwa se mugihe cyo kunyuranaho ahatari mu nsisiro
TTS_1_28,kaneza na kamaliza bahuriza kukuba iki ari igikorwa gikomeye kandi kidasaba amikoro menshi
TTS_1_29,ushobora kwitoza kugera ku bumenyi ariko ntushobora kwitoza kugera ku bwenge
TTS_1_30,kagenza yabwiye igihe ko barimo bakora amashusho mbarankuru ubwo abaturage ba etiyopiya baberekaga uyu mugore
TTS_1_31,abatoza b'ikipe ya musanze bafite akazi gakomeye ko gusezerera ikipe ya mbere yo muri afurika y'epfo
TTS_1_32,ni nayo izagaragaraho indirimbo yitwa umwana w'umuhanda yasubiranyemo na aline gahongayire
TTS_1_33,nahisemo ko umugore wanjye ayiyobora kuko ari we muntu wa mbere twumvikana
TTS_1_34,niba udakina neza kurusha abandi bakinnyi undi umuntu yafata umwanya wawe
TTS_1_35,ankubita urushyi ruremereye rwirangira ahita ankubitaho urugi aransohora ararira araboroga
TTS_1_36,ubu bukwe bwabo bwabereye ku nkombe y'ikiyaga
TTS_1_37,u rwanda rwafashe ingamba zitandukanye zo kubirwanya ariko abaturage bavuga ko hakwiye kongerwa ibihano
TTS_1_38,ubugenzuzi bwakozwe n'ishami rishinzwe ibiza ryasanze umukingo n'ibishingwe byaridutse bifunga umuhanda
TTS_1_40,ati abandi bo baratunaniye bazi ko amatsinda ari ayo mu bishanga
TTS_1_41,aho ni ugukomeza kumugusha mu cyaha murabyumva nataha azakomeza kugikora
TTS_1_42,mu ntangiriro y'umwaka w amashuri bakorewe ubuvugizi bemererwa kwishyurirwa amasomo y'inyongera
TTS_1_43,abakinnyi n'abandi bagize uruhare mu guteza siporo imbere batowe hifashishijwe imbuga nkoranyambaga
TTS_1_44,uru ruhinja rutaragira icyo rumenya ni rwo mbuto yasezeranywe
TTS_1_45,mu marenga umufasha wa kagabo yabwiye kalisa ko agomba kuryumaho
TTS_1_46,goriyati yasengaga izuba ukwezi cyangwa ikindi kintu cyose mu biri ku ijuru kandi narabibujije
TTS_1_47,watanze icyifuzo ko ubonye ubufasha wakwandika igitabo gikubiyemo ubuhamya bwawe
TTS_1_48,mukakalisa yakubwiye ko imana itari umuntu ngo ibeshye cyangwa ngo yivuguruze nk'uko abantu babikora humura no kubikora izabikora
TTS_1_49,izo mbonerakure zari zivuye ahitwa ruziba zihangana n'abari mu myigaragambyo zibateramo igisasu
TTS_1_50,kuva icyo gihe imyitozo ya gisirikare ku mpande zombi  yariyongereye
TTS_1_51,ujye wibuka ko nugwa nzakubyutsa maze kuguseka
TTS_1_52,wambaye utya ugiye mu ishuri ntabwo waba wambaye neza
TTS_1_53,bose bakurikiranyweho icyaha cyo gukoresha imfunguzo z'abandi n'icy'ubujura
TTS_1_54,ni ukugira ngo haboneke ingengo y'imari ihagije izakoreshwa bikabikwa ku buryo bwiza
TTS_1_55,nehemiya ategeka abaherezabitambo gusuka ayo mazi hejuru y'inkwi
TTS_1_56,bose bari bicaye ku meza bakina amakarita
TTS_1_57,mugabo yajyanywe mu kigo cya gisirikare akorerwa iyicarubozo mbere yo kwamburwa imyenda agasigara yambaye ikariso gusa
TTS_1_58,nimwumve amagambo yabo yo kuramya ubwo baririmbaga bati uri imana y'agakiza kacu
TTS_1_59,maze iminsi imodoka yanjye yarapfuye kuko yakoze impanuka
TTS_1_60,twashatse no kuzitiza abacuruzi ngo bazikoreshe turebe ko hari icyo binjiza turababura
TTS_1_61,tereza yavuze ko bitari ngombwa ko abaturage bigaragambya nk'uko byagenze ko ahubwo hagombaga guhura impande zombi zigashaka igisubizo
TTS_1_62,bamwe baravunitse undi aracyashidakanywaho n'ubwo imvune ye yakize
TTS_1_63,abazitabira iki gikorwa bazasusurutswa n'umuririmbyi sentore wiyita rwamwiza baratira imihigo'
TTS_1_64,ntacyo ikennye kuko ari yo yahaye bose ubugingo guhumeka n'ibindi byose batunze
TTS_1_65,yavuze k'u rwanda ahamya ko rufite ubushake bwo kubahiriza uburenganzira bw'umugore
TTS_1_66,ibi byatumye abaturage bategura imyigaragambyo mu bihe bitandukanye inagwamo abantu benshi
TTS_1_67,abandi ni rugango waguye ku rugamba ari ingaragu tanzi n'undi mukobwa utaramenyekanye
TTS_1_68,muhizi yasohoye alubumu ye mu myaka ine ishize mbere gato y'uko umugabo we atorerwa kuba perezida
TTS_1_69,iyi pasiporo nyafurika izatuma abanyafurika batembera mu bihugu bigize uyu mugabane
TTS_1_70,ati hari abaturage batazi ko gusaba umuriro bikorerwa ku biro by'akagali ka gihundwe bakihutira kujya ku murenge
TTS_1_71,twaramanutse arambwira ati njye sinshobora kuguma aha ariko ntubibwire mama kuko atakwemera ko ngenda'
TTS_1_72,agatsiko gakorera cyane cyane muri somaliya niko kohereje insoresore nyinshi ngo zifashe uwo mutwe
TTS_1_73,ni umushinga umaze igihe ukorana n'ikigo cy'igihugu gishinzwe guteza imbere ubuhinzi n'ubworozi
TTS_1_74,nubundi isi yose n'u rwanda bifatanijwe n'inkingi ziri mu mpera y'aho bihurira
TTS_1_75,mbere yo kumera umurizo yabonye ubutumwa bumuburira buturutse ku mana
TTS_1_76,ndamage wo mu ishyirahamwe ry'abacuruzi ba zahabu na gasegereti niwe wahembwe nk'umucuruzi wasoze neza
TTS_1_77,imico umuntu yatojwe akiri muto niyo imugira intwari cyangwa ikigwari ku rugamba rw'ubu buzima
TTS_1_78,uyu mugabo ukomoka muri tanzaniya niwe wegukanye umwanya wa mbere
TTS_1_79,pawulo yabonaga eliya nk'umwanzi we kuko yamucyahaga kubera ibyaha yakoraga rwihishwa
TTS_1_80,uwansubiza uko nari meze igihe nari ntengamaye nyir'ububasha ari we undinze
TTS_1_81,zizaba ziri kuri alubumu ye ya gatanu ateganya gusohora muri iyi minsi
TTS_1_82,biremerera umubiri kuko bidashobora guhindurwamo amaraso cyangwa ibigize imikaya bigahinduka rero umutwaro k'umwijima
TTS_1_83,umutoza nduhirabandi yarabihinduye akuramo kakira ashyiramo murwanashyaka
TTS_1_84,nyamara iyo ngiyo uwo muzungu ashaka yaruta izo mu rwanda
TTS_1_85,gutsinda ni ikintu cyubaka umubiri n'u bwenge buri munsi uritoza na buri joro ukagira ibyo wifuza
TTS_1_86,bafasha kandi mu bijyanye n'imigenderanire kwimenyereza hamwe n'imyitozo ya gisirikare mu gutabara
TTS_1_87,guca inyuma umukunzi wawe bikuraho icyizere yakugiriraga kuko uba wangije isezerano mwagiranye
TTS_1_88,icyo kinyamakuru cyatangaje ko inzu zubakwa muri uwo mujyi zirenze izikenewe
TTS_1_89,turifuza ko baduha utwo dufaranga twacu tukikenura n'abana bakarya maze tugasubira mu kazi kabo
TTS_1_90,abwira umuhinzi ati uyu mwaka ni uwa kane ndumbya
TTS_1_91,ariko byose byashoboka igihe leta y'u rwanda yakwemera gutanga ndekezi
TTS_1_93,yahise yandika n'umuziki ahereye kuri iyo ndirimbo igitaramo kiryohera buri wese
TTS_1_94,habyarimana yavuze ko imikorere mibi y'abo bayobozi bayibwirwaga n'abaturage
TTS_1_95,agira ati twebwe turi abasirimu n'imyumvire yacu irasobanutse
TTS_1_96,ukuntu uhamagara kugirango umenye uko meze nyuma y'ijoro rinini birandyohera
TTS_1_97,bwajyanwe hirya no hino n'intumwa z'umwami zinyura mu gihugu cya efurayimu n'icya manase
TTS_1_98,yasobanuye ko uyu munyarwanda afite uburambe kuburyo sudani y'epfo yakungukiramo byinshi aramutse akoreshejwe
TTS_1_99,ubutegetsi bubajwe nuko abo bakinnyi bimutse badakoze amarushanwa
TTS_2_1,ibyo rero bizatuma mushishikarira kwitanga ngo mukurikize ubushake bw'imana musabwa n'ijambo ryayo
TTS_2_2,turabasaba kubohoka bakatubwira aho imibiri y'abazize jenoside iherereye hirya no hino tukayishyingura mu cyubahiro
TTS_2_3,ubutegetsi bwajyanye furaha bumwambutsa iteme rya rusumo ajya ingara muri tanzaniya
TTS_2_4,umurenge wa bigogwe mu karere ka nyabihu uza ku isonga mukugira abana bagwingiye
TTS_2_5,iki gitero gihuriranye n'urugendo papa faransisiko arimo muri isiraheli
TTS_2_6,leta yabo ivuga ko ibikorwa byabo bigamije kurwanya ibikorwa by'intagondwa
TTS_2_7,ibi biganiro bigamije gukemura ibibazo by'abakiriya bayo no kubasobanurira gahunda nshya bazabagezaho vuba aha
TTS_2_8,iyo utankiza izuba wansanzeho haba hacuze iki cyo ngaho igendere
TTS_2_9,yozefu wavukiye mu budage yakomeje kwambara akagofero kera karanga papa
TTS_2_10,ibyo mu rwanda byambuza kuza ino kandi kubyitegura bisaba igihe kuko ari ibintu birebire cyane
TTS_2_11,iyo usubije amaso inyuma usanga mu myaka umunani ishize harabayeho impinduka zikomeye mu ngano y'ingengo y'imari
TTS_2_12,guverineri uwamariya yerekanye ibibazo by'imikorere mibi mu bucuruzi bw'amata bwagaragaye
TTS_2_13,ndashimira polisi y'u rwanda bamfashe neza baranamvuza
TTS_2_14,iyo ari mu bihe by'ubushyuhe numva nta kintu nshaka gukora
TTS_2_15,turabivuga tubizi kuko tuzi uruhare rwanyu ko ari ntagereranywa mu kubaka iki gihugu
TTS_2_16,ni ukubashyikiriza incarubanza bakazisuzuma bakanagirwa inama y'inzira bacamo ngo bajurire
TTS_2_17,ubu muri ubwoko bw'imana mbere mwari abantu batari baragiriwe imbabazi ariko ubu mwarababariwe
TTS_2_18,mu bagize komite nyobozi hagomba kubamo nibura mirongo itatu ku ijana by'abagore
TTS_2_19,uti dore nanze guhanwa umutima wanjye ntukunda gucyahwa sinumviye ijwi ryawe ariko ndaje
TTS_2_20,atangaza ko nta muntu n'umwe kugeza ubu watanze amakuru y'aho mbanjimbere aherereye cyangwa ibyamubayeho
TTS_2_21,umugabo agomba gutekereza yitonze ku byo umugore we akeneye kandi n'umugore ni uko
TTS_2_22,uganda kandi yemeza ko ingabo zayo zagaruye umutekano muri sudani y'epfo
TTS_2_23,ati bakomeje kumpamagara bansobanurira ku buryo na nyuma y'ifunguro rya ku manywa nasanze bampamagaye bakambura
TTS_2_24,avuga ko muri iki gihe hari abana benshi bagaragaza imyitwarire idakwiye bitewe n'uburyo babayeho mu miryango yabo
TTS_2_25,uwo mushinga woherezwa muri komisiyo ihoraho bitewe n'ibyo iryo tegeko rireba
TTS_2_26,mutesi anita yibukije ko akarere ka kayonza katanze inka aka ngororero kagatanga inkwavu
TTS_2_28,tumaze gutera intambwe ifatika ibikorwa ni byinshi kandi ubushake n'ubushobozi turabifite
TTS_2_29,ariko uzi gupfa ubizi wategujwe n'isaha uri buze kwicwaho
TTS_2_30,muri hoteli gorila ntiwabona icyumba ku munsi wo kwita izina byose biba byarafashwe
TTS_2_31,gucururiza amazi i goma bihangayikisha abatuye umujyi wa gisenyi
TTS_2_32,aho iryo tangazo ryavugaga ko abarugaragaraho bose bagomba gukemura ibibazo byabo bitarenze iminsi irindwi
TTS_2_33,afurika y'epfo yamaze kohereza abazashyirwa muri iyo myanya uretse umukozi ushinzwe ibikorwa
TTS_2_34,sinshaka kubazwa ngo kiliziya gatulika ni iki
TTS_2_35,cyangwa ngo kiliziya gatulika ibahe
